Statue of Liberty NM,3265148
Steamtown NHS,93841
Stones River NB,216700
Sunset Crater Volcano NM,178828
Tallgrass Prairie NPRES,19740
Thaddeus Kosciuszko NMEM,2384
Theodore Roosevelt Birthplace NHS,14512
Theodore Roosevelt Inaugural NHS,16881
Theodore Roosevelt Island,141527
Theodore Roosevelt NP,591946
Thomas Edison NHP,48917
Thomas Jefferson MEM,2362403
Thomas Stone NHS,6212
Timpanogos Cave NM,113162
Timucuan EHP,1065204
Tonto NM,53194
Tumacacori NHP,36167
Tuskegee Airmen NHS,35701
Tuskegee Institute NHS,29935
Tuzigoot NM,98752
Ulysses S. Grant NHS,38862
Upper Delaware S&RR,263844
Valley Forge NHP,1555085
Vanderbilt Mansion NHS,386868
Vicksburg NMP,621740
Vietnam Veterans MEM,4316079
Virgin Islands NP,454736
Voyageurs NP,220347
Walnut Canyon NM,123174
War in the Pacific NHP,299108
Washington Monument,346964
Washita Battlefield NHS,10625
Weir Farm NHS,21088
Whiskeytown NRA,798797
White House,599572
White Sands NM,461788
Whitman Mission NHS,57442
William Howard Taft NHS,20325
Wilson's Creek NB,171762
Wind Cave NP,549726
Wolf Trap NP for the Performing Arts,456098
Women's Rights NHP,25686
World War II Memorial,3986180
World War II Valor in the Pacific NM,1576347
Wrangell-St. Elias NP & PRES,71101
Wright Brothers NMEM,462512
Wupatki NM,212555
Yellowstone NP,3393091
Yosemite NP,3826974
Yukon-Charley Rivers NPRES,3934
Zion NP,2801575
